225
25
10
366000
[[0,0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0,0],
[7.53,3.38,27.01,7.92,17.11,11.09,1.2,4.87,0.03,4.53],
[7.76,16.3,3.73,0.38,15.57,13.68,0.3,8.16,0.34,0.77],
[3.78,32.08,0.34,12.45,0.09,9.72,13.83,2.35,5.09,1.01],
[33.54,20.35,11.86,20.93,15.68,1.77,35.62,0.76,11.57,5.02],
[5.1,8.17,13.8,4.38,10.91,8.3,0.6,4.48,0.18,2.29],
[11.31,17.01,1.96,10,11.24,7.91,10.79,9.93,2.74,0.6],
[17.37,17.92,6.79,11.49,9.71,10.42,18.17,2.96,16.22,5.52],
[7.57,11.87,9.74,7.42,8.48,7.09,7.33,6.64,1.97,2.16],
[13.9,13.51,8.14,8.7,10.47,7.64,12.66,10.67,12.91,3.83],
[10.93,10.23,10.15,7.73,9.48,8.13,9.53,8.34,10.87,5.44],
[0,0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0,0],
[0.16,0.64,0.44,2.27,0,0.29,6.27,20.16,1.1,12.5],
[2.18,0.57,0.33,16.59,7.8,0.08,0.22,15.07,0,26.57],
[0,17.46,3.46,9.25,3.18,12.5,5.71,0.38,5.75,35.36],
[9.64,0.03,0,1.19,0,32.32,1.17,4.18,16.76,11.42],
[1.17,0.4,0.26,16.66,5.11,0.14,3.54,11.87,0.71,13.9],
[1.48,9.92,1.81,8.97,10.64,9.05,4.71,11.89,3.79,20.85],
[6.47,11.17,2.31,9.16,2.07,16.48,6.31,2.2,8.46,17.79],
[1.16,8.04,1.62,11.12,9.99,6.38,4.11,9.37,4.19,16.07],
[7.5,9.39,1.77,7.52,9.25,11.26,7.16,7.99,5.66,14.55],
[6.52,9.12,1.87,8.71,10.36,8.45,5.55,7.26,4.82,12.2],
[0,0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0,0],
[6.48,24.15,0.14,8.04,0.14,20.8,3.92,0.48,0.87,5.75],
[0.09,17.64,1.36,0.47,16.19,11.19,5.02,0.52,0.04,4.44],
[3.35,2.23,12.5,16.7,28.73,12.65,1.79,6.34,12.75,0.71],
[0.05,0.21,9.59,20.54,0.15,0.25,13.57,6.7,0.22,21.78],
[3.87,14.1,1.29,4.38,11.89,11.16,8.92,0.33,0.48,10.16],
[1.93,9.07,6.49,13.32,15.57,7.96,6.54,3.36,9.02,2.25],
[2.55,1.17,7.43,12.48,17.88,7.42,6.96,4.35,9.78,17.61],
[5.65,9.46,4.33,9.4,11.19,11.49,12.04,2.79,6.09,7.7],
[2.19,6.42,4.96,10.13,12.09,5.6,6.45,2.9,10.28,11.74],
[5.97,7.11,3.75,8.39,9.33,9.69,9.48,2.41,8.22,11.09],
[0,0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0,0],
