588
42
9
342000
[[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[12.15,2.74,3,13.06,9.46,0,6.02,16.3,16.76],
[2.14,6.92,2.9,5.41,15.79,0.45,14.31,38.37,16.3],
[0.23,4.47,13.52,8.16,0.06,0.07,11.33,13.26,14.91],
[1.34,0.01,2.88,15.46,0.34,5.92,11.76,0.06,16.76],
[11.57,0,18.36,2.93,0.88,3.86,12.35,0.27,9.81],
[6.13,9.34,5.91,6.71,8.69,0.29,19.74,19.77,11.02],
[2.05,3.89,6.77,13.48,11.2,0.23,8.6,19.38,10.41],
[0.68,3.16,15.09,8.26,0.17,4.41,7.7,8.27,10.57],
[11.24,0.01,9.31,16.74,0.45,9.71,8.04,0.14,9.17],
[4.13,6.24,5.86,9.6,7.53,0.21,13.16,13.55,10.56],
[1.43,2.8,10.92,9.77,7.87,2.99,8.73,12.93,11.05],
[8.51,2.39,11.92,11.22,0.31,9.69,7.89,6.74,8.48],
[3.45,4.68,8.42,8.14,5.91,2.27,14.52,10.22,9.84],
[6.44,2.19,9.22,10.14,6.95,7.88,7.68,9.84,8.67],
[8.51,3.75,7.75,9.38,5.57,6.64,11.82,8.41,8.51],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[4.03,12.6,0.27,10.31,3.65,0.14,4.65,16.25,9.9],
[2.58,0.3,1.08,0.68,4.41,13.94,4.96,36.55,1.05],
[5.54,6.59,2.23,1.98,2.02,36.89,0,0.16,5.99],
[0.82,0.05,18.3,0.05,1.79,2.62,4.68,34.03,11.38],
[0.58,5.45,4.84,3.08,20.16,12.45,9.64,7.53,1.13],
[6.56,7.31,1.27,5.56,2.7,10.32,3.21,18.95,5.15],
[2.89,5.52,3.24,1,2.3,18.77,3.37,22.88,6.36],
[2.82,4.8,9.43,1.55,1.27,19.79,3.06,24.33,6.07],
[0.47,3.32,9.15,2.33,10.63,13.86,14.02,17.04,5.95],
[4.56,6.4,3.63,5.56,2.01,12.87,2.46,15.26,5.6],
[1.94,5.91,6.47,1.05,2.12,13.22,3.22,23.58,5.22],
[2.33,4.09,6.3,3.83,9.14,16.53,12.31,17.04,4.12],
[3.5,5.73,5.24,5.27,1.8,10.03,2.82,18.22,5.51],
[1.75,4.66,4.85,3.11,6.99,12.7,9.3,17.73,3.92],
[2.85,5,4.2,7.37,6.29,10.54,8.56,14.68,4.46],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[1.92,0.98,0.49,0.01,7.57,6.62,0.04,17.46,0.03],
[3.84,0.22,0.34,10.04,3.35,7.68,13.68,8.57,5.92],
[4.21,15.74,0,10.26,0.56,7.22,1.07,8.41,0.09],
[9.64,21.65,10.53,0.71,1.3,0.16,0.38,3.54,5.61],
[0.05,29.88,0.37,4.44,0.06,1.48,0.2,2.38,0.84],
[2.03,0.49,0.28,6.86,10.64,4.78,9.63,9.2,4.25],
[2.68,9.39,0.23,6.77,1.7,4.97,7.28,5.66,4.48],
[4.98,12.62,7.04,9.11,1.81,5.63,0.54,4.33,3.33],
[6.89,17.4,5.95,2.25,0.71,0.77,0.2,5.88,5.76],
[2.08,8.25,0.2,5.14,8.06,4.63,7.54,8.87,4.79],
[4.64,8.6,4.82,6.36,1.66,4.11,5.53,4.2,3.91],
[4.6,15.21,5.91,6.19,1.49,3.75,0.43,4.56,5.1],
[3.49,7.3,4.07,4.93,6.05,4.59,6.87,6.66,3.91],
[5.09,12.36,4.75,4.94,1.35,3.11,4.22,5.15,4.44],
[4.09,11.53,4.46,4.16,4.85,3.67,5.79,6.23,4.01],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[5.75,12.45,0.03,12.25,26.79,8.04,0.08,7.88,0.05],
[0.31,0.03,5.61,4.77,0.19,8.74,2.1,2.14,19.78],
[0.49,20.93,0.56,0.27,0.45,0.92,0.57,10.53,24.5],
[4.23,4.09,1.69,2.6,27.68,1.01,0.23,1.16,1.9],
[8.9,0.26,3.1,1.82,6.81,0.99,0.16,0.02,1.58],
[3.15,7.92,3.47,6.25,16.48,5.6,1.18,3.94,12.55],
[0.27,14.49,5.3,2.6,0.23,8.34,2.51,5.28,14.84],
[4.11,10.51,0.85,1.35,16.4,1.93,0.78,5.47,13.05],
[4.67,3.59,4.72,1.5,13.84,2,0.39,0.67,3.48],
[2.73,11.45,4.89,4.2,13.2,5.71,2.11,7.77,10.49],
[2.92,10.25,3.53,3.72,12.45,9.02,2.75,3.7,9.99],
[3.69,7.06,3.4,1,11.16,3.26,0.99,3.78,8.84],
[5.42,8.73,3.73,3.97,15.32,6.77,2.74,6.53,7.88],
[2.79,7.72,3.9,2.8,9.83,10.29,2.97,2.92,7.84],
[4.48,6.99,3.67,3.19,12.3,8.4,3.23,5.72,6.72],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[7.37,3.65,0.82,0.2,16.82,7.33,0.31,1.07,0.14],
[7.22,0.08,4.74,8.04,0.44,10.9,0.05,2.06,6.41],
[2.9,0.85,0.77,13.78,4.18,22.11,8,4.87,6.77],
[9.59,1.05,1.36,1.43,3.43,0.26,3.15,2.93,13.47],
[1.84,2.88,1.57,0.02,1.55,1.05,5.45,15.68,1.04],
[4.86,2.13,5.02,4.64,9.69,6.2,0.33,3.07,3.73],
[3.7,0.45,4.95,7.53,2.17,11.66,5.81,2.51,4.39],
[11.85,0.64,0.74,7.18,2.55,13.32,4.09,7.71,7.13],
[4.82,3.78,2.93,1.07,4.86,1.22,8.49,7.89,12.16],
[3.58,2.36,6.81,5.04,10.86,9.92,5.25,2.46,3.03],
[8.03,0.42,3.31,5.08,1.7,8.94,3.89,5.33,6.79],
[8.71,2.58,2,4.83,3.32,8.9,6.04,7.31,8.12],
[8.19,1.77,5.37,3.81,8.2,9.11,4.08,4.13,5.61],
[6.55,2.04,3,3.81,2.54,6.71,4.84,5.49,8.94],
[7.42,2.37,4.42,3.05,6.86,7.41,4.41,4.7,8.19],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0.01,0.02,2.93,0.34,12.05,2.78,4.93,8.49,5.45],
[19.91,0.01,2.02,3.28,0,12.1,1.36,5.81,11.57],
[36.55,4.06,2.06,7.84,32.24,0.03,0.08,2.21,10.31],
[1.82,0.09,0.77,0.45,12.15,29.8,1.22,1.64,7.53],
[23.94,11.71,23.53,0.42,0.72,2.95,0.68,19.03,16.47],
[12.94,0.02,4.92,3.11,7.94,6.05,2.47,4.85,16.63],
[19.66,2.61,4.08,4.03,21.66,8.52,0.74,2.96,7.3],
[20.14,3.18,1.05,6.78,16.4,19.22,1.08,1.3,6.02],
[21.58,7.18,19.03,0.29,10.55,15.58,1.88,10.06,8.58],
[13.46,1.86,7.64,3.05,15.64,5.93,1.68,3.59,11.1],
[13.82,3.05,2.87,4.56,14.49,14.4,0.9,2.57,6.38],
[20.56,5.36,12.98,4.79,11.75,14.54,2.1,8.88,9.46],
[10.48,2.61,6.45,3.48,11.73,10.84,1.93,2.86,11.07],
[16.76,4.24,10.02,3.68,11.02,11.6,1.59,6.95,7.82],
[14.01,3.46,9.92,2.96,9.66,9.41,2.69,7.22,10.14],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,0,0,0],
[0.04,6.48,0.76,21.32,6.48,1.6,0.52,23.53,1.16],
[1.11,2.31,10.72,3.81,5.06,10.17,9.12,0.02,9.86],
[2.53,7.37,3.23,1.6,0.41,3.84,2.44,0.4,0.68],
[20.22,0.36,6.96,15.24,0.77,0.14,8.57,0.3,30.03],
[0.05,1.25,31.84,36.04,0.01,4.53,0.02,13.57,0.01],
[0.62,3.28,5.75,10.75,3.87,10.54,4.97,15.26,9.59],
[1.31,3.7,5.38,5.25,2.68,5.17,4.56,0.33,8.76],
[10.4,4.07,3.63,7.93,0.41,2.16,10.39,0.24,17.45],
[12.84,1.52,15.94,18.56,0.58,3.65,6.02,7.9,19.59],
[0.87,5.44,3.84,7.69,2.58,7.2,3.34,10.58,11.77],
[8.05,2.72,6.79,6.4,2.51,3.46,7.43,0.23,13.37],
[9.45,2.9,12.47,12.6,0.38,2.93,10.36,6.37,16.94],
[6.36,4.77,5.82,9.69,2.25,5.67,5.57,8.53,12.48],
[8.77,2.18,10.7,11.85,2.28,4.58,7.82,5.41,13.15],
[7.7,3.82,8.68,11.83,2.01,7.11,6.32,9.26,11.74],
[4.9,17.35,0.23,3.15,16.47,13.89,0.43,4.47,0.23],
[0.54,1.08,2.86,4.74,0.86,11.14,0.13,35.45,0.22],
[14.47,9.77,5.54,0.46,26.5,0.08,31.92,39.52,6.48],
[3.73,2.42,7.92,12.85,15.74,37.07,5.41,5.06,14.15],
[2.81,3.59,0.05,0.02,22.24,4.15,12.9,11.09,13.73],
[6.2,0.22,3.43,0.01,1.36,11.96,9.16,1.23,0.24],
[6.84,6.74,1.88,10.39,6,8.36,3.73,13.31,8.89],
[5.01,5.3,4.05,3.39,9.7,6.97,11.09,24.99,6.5],
[7.41,4.1,5.28,4.79,14.54,19.07,14.38,16.61,7.21],
[2.89,2.01,8.61,7.15,13.28,13.85,11.32,11.56,9.38],
[4.16,2.15,8.17,2.01,12.78,5.77,7.38,5.89,5.37],
[8.11,6.66,4.23,6.34,9.12,7.84,10.61,15.89,6.91],
[4.77,4.22,4.11,5.83,9.87,13.87,8.66,17.35,6.9],
[5.06,3.19,9.84,4.43,13.33,14.39,13.23,14.84,7.07],
[4.77,1.92,7.48,8.38,10.9,10.88,9.38,7.19,6.07],
[6.42,5.5,4.17,6.54,9.45,12.04,8.43,13.13,6.98],
[3.81,3.75,7.49,4.65,10.23,11.87,9.61,15.67,7.12],
[5.51,2.78,7.86,6.7,12.09,12.11,11.27,10.79,5.54],
[5.47,4.89,6.12,5.99,9.82,10.78,10.18,12.68,6.96],
[4.35,3.07,6.43,5.89,10.59,10.67,9.03,12.33,5.65],
[6.1,4.11,5.6,7.64,10.37,9.99,10.12,10.49,5.96],
[5.09,1.1,2.06,17.23,0.12,2.55,13.57,0.17,0.46],
[2.67,13.01,1.58,0.74,1.39,1.82,1.77,0.07,13.31],
[3.73,12.5,8.32,2.18,26.14,5.35,0.02,8.16,0.04],
