225
25
5
180000
[[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[6.02,0.24,1.55,9.29,0.59],
[7.41,1.01,0.98,4.35,0.01],
[12.25,8.2,0.59,33.37,6.96],
[24.29,1.26,0.83,11.57,2.78],
[4.5,0.5,0.86,13.33,0.44],
[6.76,4.22,0.54,17.12,4.79],
[12.86,8.46,0.48,16.86,3.56],
[6.13,3.11,0.71,14.57,4.65],
[10.64,6.46,0.63,11.44,3.2],
[8.32,5.68,0.64,11.23,3.61],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[24.22,8.08,4.53,8.53,8.04],
[2.51,0.72,0,0.17,1.26],
[0.35,15.96,1.77,6.73,4.47],
[1.23,2.08,2.74,4.84,4.62],
[12.62,4.26,3.08,6.6,8.33],
[2.53,13.38,1.14,3.89,2.24],
[1.5,8.19,4.47,11.52,3.03],
[8.42,9.37,2.23,5.31,5.64],
[3.76,10.05,3.95,9.79,2.11],
[6.81,7.67,3.43,8.1,5.58],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0.03,0.06,0.37,0.12,12.35],
[0,0.08,1.26,2.25,0.29],
[22.65,15.51,2.31,0.39,9.72],
[21.06,4.53,3.65,0.08,4.84],
[0.03,0.05,0.63,1.23,9.69],
[15.3,9.64,3.52,1.13,5.56],
[14.58,7.77,2.04,0.19,5.14],
[11.84,7.36,2.56,0.86,7.72],
[11.18,6.5,2.48,0.83,3.75],
[9.24,5.74,1.97,0.74,6.2],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[14.74,7.57,19.59,1.66,0.46],
[2.04,0.82,2.6,7.33,12.1],
[2.06,23.94,5.85,24.15,0],
[0.42,9.9,13.36,0.48,5.25],
[7.53,7.25,10.04,8.32,9.95],
[4.1,13.56,8.23,12.12,7.91],
[2.28,12.3,6.91,14.15,3.61],
[5.64,10.52,8.73,9.14,9.7],
[4.9,9.05,6.62,9.49,5.97],
[5.1,8.04,8.38,7.55,7.35],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[7.11,27.68,2.98,0.19,6.13],
[0,19.59,0.87,10.53,2.02],
[0.52,14.31,4.96,22.65,13.94],
[0.15,24.92,0.08,28.73,25.35],
[4.64,15.99,3.64,6.21,3.09],
[0.38,11.44,2.5,11.82,14.18],
[0.26,13.57,3.78,17.25,13.66],
[3.1,14,2.96,7.89,9.49],
[0.26,15.41,2.73,13.23,11.6],
[2.42,14.23,2.66,10.29,8.95],
[5.92,1.25,2.23,0.98,1.9],
[24.43,4.9,3.54,0.74,4.96],
[0.4,0.13,0.87,0.66,11.81],
[12.55,0.59,0.14,5.61,15.68],
[6.23,3.23,4.8,10.44,19.72],
[11.13,2.97,2.05,6.51,3],
[8.49,1.68,1.65,1.51,5.77],
[7.11,8.08,1.07,13.77,12.93],
[8.69,1.29,1.74,5.59,14.23],
[7.51,2.05,1.69,8.04,4.73],
[9.26,7.26,1.35,8.79,8.99],
[5.93,6.79,2.03,11.54,11.98],
[7.83,5.37,1.36,8.93,6.84],
[7.74,7.54,2,9.12,9.34],
[7.12,6.07,1.82,8.59,7.66],
[0.17,1.98,14.26,0.01,2.23],
[26.57,2.83,5.09,10.17,0.66],
[12.3,0.3,1.19,4.41,1.96],
[3.41,0.24,0.81,0.02,5.78],
[2.67,0.04,19.91,5.58,5.54],
[13.26,2.73,7.7,4.5,7.68],
[13.34,1.09,2.29,5.47,1.33],
[8.13,10.67,2.02,3.2,7.14],
[7.44,2.22,6.92,2.47,6.93],
[10.56,1.77,4.87,4.94,8.12],
[10.23,9.7,3.07,3.97,4.54],
[7.15,6.43,5.37,4.69,5.8],
[10.55,7.23,4.35,3.66,7.06],
[8.95,7.32,5.47,4.88,4.25],
[8.88,5.99,5.86,4.13,6.82],
[2.67,0.15,15.4,0.06,2.35],
[27.98,4.47,0.01,3.51,1.69],
[14.42,10.95,0.35,9.5,2.69],
[5.75,30.5,2.23,1.46,21.98],
[2.38,0.06,0.06,0.65,0.04],
[12.91,3.04,9.36,1.34,4.28],
[14.44,5.2,1.37,7.29,4.15],
[8.56,13.97,3.45,8.76,9.92],
[7.28,10.36,5.93,0.86,7.34],
[10.69,4.61,5.69,5.62,8.09],
[10.74,9.28,5.02,6.24,7.07],
[7.32,8.43,3.8,5.81,6.34],
[9.96,7.67,6.17,4.85,9],
[9.31,6.67,4.04,4.73,5.14],
[8.54,6.14,5.36,3.91,7.03],
[0.02,17.35,7.14,2.81,1.64],
[1.75,14.8,12.1,0.67,3.51],
[0,0.11,7.84,26.35,15.46],
[0.58,0.62,3.41,20.61,0.02],
[3.25,6.92,2.33,2.29,8.24],
[7.64,11.76,7.63,1.65,2.25],
[0.95,9.71,7.73,9.06,10.32],
[0.97,12.79,3.76,15.66,7.39],
[1.29,13.55,4.5,11.26,11.7],
[5,9.3,6.34,6.28,6.58],
[1.81,10.76,5.6,9.58,11.18],
[1.47,10.98,4.69,12.85,10.11],
[3.76,10.53,5.12,7.43,9],
[2.27,10.51,5.28,9.79,10.3],
[3.37,10.16,5.15,7.93,8.5],
[4.74,1.1,7.23,0.71,4.12],
[17.02,2.67,8.58,5.44,2.54],
[6.98,0.15,2.05,4.52,5.97],
[15,0.81,0.86,3.55,7.96],
[8.65,2.41,9.96,5.59,9.87],
[9.17,1.81,6.47,4.57,4.74],
[9.7,1.14,4.25,5.05,3.57],
