225
25
5
156000
[[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0.56,0.31,5.81,7.41,22.85],
[7.92,1.02,3.95,0.22,23.46],
[0.54,0.03,3.38,0.2,6.44],
[0.17,0.74,0.64,0.01,3.3],
[7.06,0.51,9.7,5.93,15.44],
[4.26,0.82,2.45,0.42,11.74],
[0.27,0.42,1.7,0.11,3.42],
[5.67,0.56,6.51,5.35,10.7],
[3.21,0.63,1.66,0.35,9.34],
[5.11,0.47,5.3,4.55,8.54],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0.02,6.16,0.01,0.19,0.65],
[0.51,1.75,8.86,8.99,0.03],
[12.2,4.23,0.97,4.87,4.93],
[4.29,2.42,11.19,18.79,24.64],
[0.42,3.08,5.74,7,0.36],
[6.81,2.17,8.5,4.83,3.05],
[6.17,6.57,5.91,9.4,12.37],
[4.69,4.06,8.15,4.67,3.06],
[4.54,4.54,7.11,10.68,8.3],
[3.53,6.79,6.63,10.86,6.35],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0.07,1.62,6.3,5.78,11.14],
[0.65,3.43,0.12,30.97,25.56],
[0.14,2.71,5.68,0.01,0.48],
[0.03,0.61,7.84,0.73,2.29],
[0.62,1.8,3.71,15.58,13.22],
[0.33,2.06,3.32,20.28,15.03],
[0.07,3.07,4.56,0.55,2.55],
[0.45,1.55,6.95,14.33,10.04],
[0.24,2.17,3.09,13.96,10.06],
[0.39,1.95,5.34,11.38,7.57],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[16.36,2.44,4.09,23.53,0.71],
[30.89,3.67,6.09,0.01,4.38],
[4.68,0.04,1.05,4.65,6.81],
[4.12,3.78,7.92,1.04,34.86],
[16.51,6.07,3.46,16.08,2.22],
[15.7,2.21,3.07,2.94,11.1],
[8.79,2.81,7.9,2.33,17.51],
[11.03,5.32,2.31,10.83,8.41],
[11.78,2.52,5.63,2.03,13.41],
[9.69,4.21,4.99,8.3,10.18],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[0,0,0,0,0],
[31.84,1.67,2.55,6.41,0.45],
[0.01,0.2,0.08,2.51,0.73],
[7.76,26.43,0.34,4.65,1.23],
[2.27,21.98,4.62,3.05,0.9],
[21.63,0.86,1.45,8.62,1.17],
[4.99,16.2,0.17,2.5,0.68],
[9.48,16.2,2.47,7.65,0.72],
[14.77,14.46,1.4,5.78,0.83],
[8.86,11.8,1.84,5.19,0.57],
[12.9,11.06,1.9,5.84,0.83],
[1.77,1.96,25.21,1.31,3.89],
[0.51,0.27,7.26,11.76,4],
[1.92,0.04,5.15,0.81,7.14],
[17.17,5.95,2,12.65,5.54],
[6.2,9.81,1.28,0.77,0.63],
[0.89,2.29,11.86,6.02,7.83],
[2.89,1.01,4.3,6.19,7.91],
[9.34,2.59,3.71,5,8],
[8.82,6.23,3.95,7.46,9.72],
[3.02,1.47,8.15,7.17,6.79],
[5.97,1.87,4.45,6.24,6.53],
[6.86,5.03,3.48,4.66,7.51],
[4.88,2.09,6.86,7.21,6.79],
[5.23,3.64,3.76,6.48,7.74],
[4.63,3.76,5.89,8.32,7.01],
[4.18,9.59,0.82,9.12,0],
[3.67,3.56,12.25,0.03,6.55],
[3.33,1.84,0.03,7.53,5.41],
[1.69,0.9,2.51,23.53,14.85],
[0.35,0.03,4.53,0.12,6.88],
[2.64,6.74,5.34,3.69,5.05],
[2.72,3.48,5.25,14.74,8.54],
[4.16,3.2,2.74,11.24,8.17],
[1.52,1.22,8.64,9.9,9.23],
[2.64,4.63,5.19,11.38,5.44],
[3.25,2.87,6.58,14.07,8.11],
[2.58,4.26,5.2,7.49,6.81],
[2.92,4.3,7.83,12.3,6.07],
[2.38,3.55,6.33,12.53,7.9],
[2.31,5.12,6.85,12.31,6.21],
[0.08,0.22,15.57,6.81,2.67],
[16.47,5.61,0.34,21.58,0.74],
[5.31,5.92,4.93,0.64,4.41],
[0.05,15.02,1.41,8.16,1.45],
[4.32,7.33,1.45,0.97,10.17],
[8.61,1.96,5.34,10.46,4.05],
[11.03,6.21,2.51,12.79,10.24],
[2.33,7.55,2.42,3.78,2.56],
[2.27,8.69,6.21,3.05,13.04],
[7.13,4.4,4.94,12.77,6.72],
[6.67,6.73,2.57,9.35,10.45],
[3.54,7.77,4.99,2.59,9.14],
[5.1,5.35,4.66,10.88,8.01],
[5.74,6.64,3.76,6.85,10.43],
[4.9,5.39,4.82,8.9,8.42],
[1.51,2.78,17.64,21.78,2.23],
[0.14,3.75,0.34,7.37,2.76],
[36.38,18.54,11.09,19.53,1.66],
[1.17,1.08,2.98,0.01,7.76],
[6.02,2.9,1.13,0.39,4.71],
[16.19,3.54,6.02,10.61,2.04],
[17.13,7.79,4.61,9.33,1.73],
[12.58,10.6,4.72,6.51,5.44],
[2.44,8.66,5.47,1.41,11.98],
[17.04,6.95,6.35,10.29,1.59],
[12,9.17,3.41,5.67,5.1],
[8.76,9.25,6.65,5.01,7.53],
[12.45,10.16,5.04,7.35,3.99],
[9.75,7.84,4.8,4.66,5.99],
[10.36,8.42,5.7,6.37,4.93],
[2.15,4.81,14.32,4.65,2.63],
[1.88,3.22,6.72,7.46,3.62],
[5.18,1.45,3.74,3.91,4.23],
[8.98,6.11,4.5,12.62,7.55],
[5.35,6.92,2.27,0.39,3.62],
[1.7,4.45,8.42,4.88,7.81],
